地段位置或門牌,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途
民權路２２６巷２弄１２號六樓之６,110/09/14,742.0,28.5,26.05,70.74%,住宅大樓(11層含以上有電梯),5.0,六層/十一層,房地(土地+建物),土:2 建:1車:0,2房2廳1衛,,有,有,住家用
民權路２２６巷２弄１２號四樓之２,110/09/08,800.0,30.7,26.05,70.74%,住宅大樓(11層含以上有電梯),5.0,四層/十一層,房地(土地+建物),土:2 建:1車:0,2房2廳1衛,,有,有,住家用
金門城６８之６號三樓,110/09/08,455.0,17.9,25.41,82.93%,公寓(5樓含以下無電梯),5.0,三層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用
金門城３０之９號二樓,110/09/07,495.0,16.2,30.53,82.25%,公寓(5樓含以下無電梯),11.0,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
西海路三段３９巷２弄２號四樓,110/08/23,680.0,21.1,32.16,73.70%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
西海路三段３９巷２弄５號二樓,110/08/23,680.0,21.1,32.16,73.70%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
西海路三段３９巷２弄５號四樓,110/08/23,680.0,21.1,32.16,73.70%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
庵前４３之２號二樓,110/08/18,410.0,20.6,19.95,88.05%,公寓(5樓含以下無電梯),6.0,二層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用
西海路三段１０６巷１７弄５號,110/08/09,530.0,17.3,30.65,65.17%,公寓(5樓含以下無電梯),4.0,一層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用
小西門７６之２號,110/08/01,940.0,21.9,42.89,79.72%,華廈(10層含以下有電梯),1.0,一層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,有,住家用
庵前９之１號五樓,110/07/23,680.0,22.2,30.64,77.75%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
庵前９之２號五樓,110/07/23,680.0,22.2,30.64,77.75%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
庵前９之１號,110/07/22,680.0,24.1,28.25,84.33%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
庵前９之２號二樓,110/07/20,680.0,22.2,30.64,77.75%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
庵前９之５號,110/07/17,620.0,24.4,25.36,91.40%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
庵前９之６號三樓,110/07/17,615.0,21.9,28.03,83.59%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
庵前９之２號,110/07/17,690.0,24.4,28.25,84.33%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
庵前９之２號四樓,110/07/17,680.0,22.2,30.64,77.75%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
庵前９之３號二樓,110/07/16,680.0,21.8,31.25,76.81%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
庵前９之３號三樓,110/07/16,689.0,22.1,31.25,76.81%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
庵前９之６號二樓,110/07/16,615.0,21.9,28.03,83.59%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
庵前９之６號,110/07/15,615.0,24.0,25.63,91.41%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
庵前９之１號四樓,110/07/15,680.0,22.2,30.64,77.75%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
庵前９之３號,110/07/15,680.0,24.2,28.09,85.43%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
庵前９之５號二樓,110/07/15,615.0,22.2,27.76,83.51%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
庵前９之１號二樓,110/07/15,680.0,22.2,30.64,77.75%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
庵前９之５號三樓,110/07/15,620.0,22.3,27.76,83.51%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
庵前９之１號三樓,110/07/14,680.0,22.2,30.64,77.75%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
庵前９之２號三樓,110/07/14,680.0,22.2,30.64,77.75%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
山前２之１號３樓,110/07/13,660.0,20.3,32.5,77.54%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
山前２之２號４樓,110/07/05,670.0,20.6,32.5,77.54%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
