地段位置或門牌,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易筆棟數,建物現況格局,主要用途
西海路三段３９巷２弄１６號１樓,2020/12/31,539.8,18.2,29.69,91.09%,公寓(5樓含以下無電梯),26,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
珠浦西路５０巷１３弄１３號４樓,2020/12/31,700,21,33.32,82.67%,公寓(5樓含以下無電梯),22,四層/五層,土:1 建:1車:0,3房1廳2衛,住家用
民權路３０巷３弄１號四樓,2020/12/28,550,18.3,29.98,78.69%,公寓(5樓含以下無電梯),14,四層/五層,土:1 建:1車:0,3房2廳2衛,住家用
浴井２６號,2020/11/26,640,24.8,25.83,93.43%,公寓(5樓含以下無電梯),3,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
小西門５之１號二樓,2020/11/4,510,19,26.87,82.32%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:2車:0,3房2廳3衛,住家用
中興路１６１巷１７號３樓,2020/11/3,730,25,29.24,79.37%,公寓(5樓含以下無電梯),22,三層/五層,土:1 建:1車:0,3房2廳2衛,住家用
珠浦西路５０巷１１弄１０號三樓之２,2020/11/2,280,22.2,12.63,64.65%,公寓(5樓含以下無電梯),11,三層/四層,土:1 建:1車:0,1房1廳1衛,住家用
大學路５３巷６弄１號三樓之１,2020/10/14,250,25.9,9.65,77.81%,公寓(5樓含以下無電梯),11,三層/三層,土:2 建:1車:0,1房1廳1衛,住家用
小西門５０之６號,2020/9/17,610,14.6,41.83,90.86%,公寓(5樓含以下無電梯),2,"一層,地下一層/三層",土:1 建:1車:0,3房2廳2衛,住家用
金門城８９之６號,2020/9/15,410,23.4,17.53,86.52%,公寓(5樓含以下無電梯),4,一層/三層,土:1 建:1車:0,2房1廳2衛,住家用
珠浦西路６巷６弄６號５樓,2020/9/14,420,19.3,21.71,76.09%,公寓(5樓含以下無電梯),11,五層/五層,土:1 建:1車:0,2房1廳1衛,住家用
山前３１號,2020/9/7,150,12.7,11.82,100.00%,公寓(5樓含以下無電梯),24,"一層,二層,三層/三層",土:1 建:1車:0,5房1廳5衛,住家用
小古崗１９之９號三樓,2020/8/31,550,19.9,27.62,86.83%,公寓(5樓含以下無電梯),3,三層/三層,土:1 建:1車:0,3房1廳2衛,住家用
西海路三段１０６巷１７弄１０號,2020/8/25,480,13.8,34.89,65.17%,公寓(5樓含以下無電梯),3,一層/三層,土:1 建:1車:1,2房2廳2衛,住家用
西海路三段１０６巷１７弄１０號二樓,2020/8/25,460,12,38.28,58.68%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:1,2房2廳2衛,住家用
金門城８９之６號三樓,2020/8/1,413,21.8,18.91,80.20%,公寓(5樓含以下無電梯),4,三層/三層,土:1 建:1車:0,2房1廳2衛,住家用
小西門５０之２號三樓,2020/7/29,535,17.4,30.69,81.43%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:1車:0,3房2廳2衛,住家用
庵前２９之７號二樓之１,2020/7/2,420,21.5,19.58,88.55%,公寓(5樓含以下無電梯),3,二層/三層,土:1 建:1車:0,2房1廳1衛,住家用
金門城５之９號,2020/5/23,380,20.9,18.2,85.54%,公寓(5樓含以下無電梯),5,一層/三層,土:1 建:1車:0,2房1廳2衛,住家用
小古崗１９之９號,2020/5/19,570,21.8,26.09,91.93%,公寓(5樓含以下無電梯),3,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
珠浦西路２８巷４弄１之１號３樓,2020/5/10,800,30.4,26.28,75.35%,公寓(5樓含以下無電梯),7,三層/五層,土:1 建:1車:0,3房1廳1衛,住家用
東沙１３之１號二樓,2020/5/5,480,17,28.31,86.74%,公寓(5樓含以下無電梯),3,二層/三層,土:1 建:1車:0,2房2廳2衛,住家用
金門城１０６之８號,2020/4/28,510,18.2,28.04,87.02%,公寓(5樓含以下無電梯),4,一層/三層,土:1 建:1車:0,3房1廳2衛,住家用
金門城６８之７號,2020/4/2,444,19.2,23.12,92.01%,公寓(5樓含以下無電梯),3,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
環島北路一段３８巷１弄７號,2020/3/17,1038,56.5,18.38,80.67%,公寓(5樓含以下無電梯),24,一層/三層,土:1 建:1車:0,1房1廳1衛,住家用
環島北路一段３８巷１弄９號,2020/3/17,1000,56.6,17.68,79.91%,公寓(5樓含以下無電梯),24,一層/三層,土:1 建:1車:0,1房1廳1衛,住家用
賢聚４０之３號,2020/3/5,400,17.2,23.27,85.71%,公寓(5樓含以下無電梯),2,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
浯江路１８號３樓,2020/3/1,530,20.3,26.17,86.42%,公寓(5樓含以下無電梯),11,三層/三層,土:2 建:1車:0,3房2廳2衛,住家用
小西門４７號二樓,2020/2/23,450,16.2,27.85,90.78%,公寓(5樓含以下無電梯),6,二層/三層,土:1 建:1車:0,3房2廳2衛,住家用
珠浦南路７４巷１０之２號三樓,2020/2/5,650,22.8,28.53,82.29%,公寓(5樓含以下無電梯),18,三層/四層,土:1 建:1車:0,3房2廳2衛,住家用
小西門５０之５號三樓,2020/2/4,560,18.2,30.69,81.43%,公寓(5樓含以下無電梯),2,三層/三層,土:1 建:1車:0,2房2廳2衛,住家用
浴井８３號二樓,2020/1/18,560,21.3,26.28,82.36%,公寓(5樓含以下無電梯),1,二層/三層,土:1 建:1車:0,3房2廳2衛,住家用
小西門５０之６號三樓,2020/1/17,510,19.3,26.44,79.05%,公寓(5樓含以下無電梯),1,三層/三層,土:1 建:1車:0,2房2廳2衛,住家用
金門城８２之８號三樓,2020/1/16,475,15.6,30.42,85.25%,公寓(5樓含以下無電梯),8,三層/三層,土:1 建:1車:0,3房2廳2衛,住家用
