地段位置或門牌,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,樓別/樓高
西海路三段３９巷２弄２號四樓,2021/8/23,680.0,21.1,32.16,73.70,華廈(10層含以下有電梯),四層/五層
西海路三段３９巷２弄５號二樓,2021/8/23,680.0,21.1,32.16,73.70,華廈(10層含以下有電梯),二層/五層
西海路三段３９巷２弄５號四樓,2021/8/23,680.0,21.1,32.16,73.70,華廈(10層含以下有電梯),四層/五層
庵前４３之２號二樓,2021/8/18,410.0,20.6,19.95,88.05,公寓(5樓含以下無電梯),二層/三層
西海路三段１０６巷１７弄５號,2021/8/9,530.0,17.3,30.65,65.17,公寓(5樓含以下無電梯),一層/三層
小西門７６之２號,2021/8/1,940.0,21.9,42.89,79.72,華廈(10層含以下有電梯),一層/五層
庵前９之１號五樓,2021/7/23,680.0,22.2,30.64,77.75,華廈(10層含以下有電梯),五層/五層
庵前９之２號五樓,2021/7/23,680.0,22.2,30.64,77.75,華廈(10層含以下有電梯),五層/五層
庵前９之１號,2021/7/22,680.0,24.1,28.25,84.33,華廈(10層含以下有電梯),一層/五層
庵前９之２號二樓,2021/7/20,680.0,22.2,30.64,77.75,華廈(10層含以下有電梯),二層/五層
庵前９之５號,2021/7/17,620.0,24.4,25.36,91.40,公寓(5樓含以下無電梯),一層/三層
庵前９之６號三樓,2021/7/17,615.0,21.9,28.03,83.59,公寓(5樓含以下無電梯),三層/三層
庵前９之２號,2021/7/17,690.0,24.4,28.25,84.33,華廈(10層含以下有電梯),一層/五層
庵前９之２號四樓,2021/7/17,680.0,22.2,30.64,77.75,華廈(10層含以下有電梯),四層/五層
庵前９之３號二樓,2021/7/16,680.0,21.8,31.25,76.81,公寓(5樓含以下無電梯),二層/三層
庵前９之３號三樓,2021/7/16,689.0,22.1,31.25,76.81,公寓(5樓含以下無電梯),三層/三層
庵前９之６號二樓,2021/7/16,615.0,21.9,28.03,83.59,公寓(5樓含以下無電梯),二層/三層
庵前９之６號,2021/7/15,615.0,24.0,25.63,91.41,公寓(5樓含以下無電梯),一層/三層
庵前９之１號四樓,2021/7/15,680.0,22.2,30.64,77.75,華廈(10層含以下有電梯),四層/五層
庵前９之３號,2021/7/15,680.0,24.2,28.09,85.43,公寓(5樓含以下無電梯),一層/三層
庵前９之５號二樓,2021/7/15,615.0,22.2,27.76,83.51,公寓(5樓含以下無電梯),二層/三層
庵前９之１號二樓,2021/7/15,680.0,22.2,30.64,77.75,華廈(10層含以下有電梯),二層/五層
庵前９之５號三樓,2021/7/15,620.0,22.3,27.76,83.51,公寓(5樓含以下無電梯),三層/三層
庵前９之１號三樓,2021/7/14,680.0,22.2,30.64,77.75,華廈(10層含以下有電梯),三層/五層
庵前９之２號三樓,2021/7/14,680.0,22.2,30.64,77.75,華廈(10層含以下有電梯),三層/五層
山前２之１號３樓,2021/7/13,660.0,20.3,32.5,77.54,華廈(10層含以下有電梯),三層/五層
山前２之２號４樓,2021/7/5,670.0,20.6,32.5,77.54,華廈(10層含以下有電梯),四層/五層
山前２之１號４樓,2021/7/5,670.0,20.6,32.5,77.54,華廈(10層含以下有電梯),四層/五層
金門城２０６號二樓,2021/7/3,590.0,20.8,28.32,75.00,華廈(10層含以下有電梯),二層/五層
小古崗１９之９號,2021/7/3,600.0,23.0,26.09,91.93,公寓(5樓含以下無電梯),一層/三層
小西門５之１號,2021/6/22,520.0,20.5,25.33,87.32,公寓(5樓含以下無電梯),一層/三層
金門城５之１１號,2021/6/1,349.0,19.4,17.98,85.48,公寓(5樓含以下無電梯),一層/三層
大古崗１２６號四樓,2021/5/22,510.0,16.9,30.17,68.91,華廈(10層含以下有電梯),四層/五層
金門城５之１０號三樓,2021/5/19,310.0,15.8,19.58,78.51,公寓(5樓含以下無電梯),三層/三層
庵前４２之３號五樓,2021/5/17,735.0,20.5,35.81,74.96,華廈(10層含以下有電梯),五層/五層
庵前４２之３號二樓,2021/5/16,700.0,19.5,35.81,74.96,華廈(10層含以下有電梯),二層/五層
庵前４２之３號三樓,2021/5/16,700.0,19.5,35.81,74.96,華廈(10層含以下有電梯),三層/五層
庵前４２之３號四樓,2021/5/15,700.0,19.5,35.81,74.96,華廈(10層含以下有電梯),四層/五層
西海路三段１０６巷１７弄７號,2021/4/30,630.0,15.2,41.42,65.62,公寓(5樓含以下無電梯),一層/三層
庵前４２之２號五樓,2021/4/19,740.0,20.7,35.81,74.96,華廈(10層含以下有電梯),五層/五層
