地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註
珠浦西路２８巷２弄５號三樓,,111/07/29,900,24.3,37,80.75%,華廈(10層含以下有電梯),22,三層/五層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,有,有,住家用,買方除買賣價格外，另負擔土地增值稅。
歐厝１８６號,,111/07/28,1050,0,51.25,,透天厝,5,全/一層,房地(土地+建物),土:3 建:1車:0,5房2廳2衛,,無,無,農業用,
珠浦西路６巷４弄７號,,111/07/10,1200,0,61.43,,透天厝,21,全/四層,房地(土地+建物),土:1 建:1車:0,5房3廳3衛,,無,無,住家用,
金門城１０６之１０號三樓,,111/07/08,520,20.6,25.2,73.11%,公寓(5樓含以下無電梯),4,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,
環島北路一段３８巷１弄５號３樓,,111/07/07,690,19.8,34.88,80.16%,公寓(5樓含以下無電梯),26,三層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳3衛,,無,無,住家用,
金門城２２７號,,111/07/05,535,22.8,23.5,73.75%,華廈(10層含以下有電梯),1,一層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,
和平新村４８號,,111/07/04,1200,0,88.88,,透天厝,22,全/四層,房地(土地+建物),土:1 建:1車:0,6房2廳4衛,,無,無,住家用,
金門城１０３之３號,,111/07/02,600,21.1,28.47,80.60%,公寓(5樓含以下無電梯),1,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,
金門城１０３之３號三樓,,111/06/26,600,19.2,31.22,73.48%,華廈(10層含以下有電梯),1,三層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,有,住家用,
山前１１之２號３樓,,111/06/23,635,20.3,31.28,88.66%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
西海路三段２１巷８號,萬聖金鑽,111/06/23,1320,0,48.4,,透天厝,7,全/三層,房地(土地+建物),土:1 建:1車:0,5房2廳5衛,,無,無,住家用,
金門城１０６之１０號四樓,,111/06/10,580,23,25.2,73.11%,華廈(10層含以下有電梯),4,四層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,有,有,住家用,
金門城１０６之７號三樓,,111/06/08,590,19.6,30.07,81.17%,公寓(5樓含以下無電梯),6,三層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳3衛,,無,無,住家用,
金山路１２１巷１５弄２１號,,111/06/06,1698,0,69.66,,透天厝,7,全/三層,房地(土地+建物),土:3 建:1車:0,5房2廳4衛,,無,無,住家用,含裝潢費;含傢俱設備費;
中興路２０５巷６號六樓,群力建設-傑仕堡,111/06/03,940,26.1,36.01,72.58%,華廈(10層含以下有電梯),12,六層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,
山前２之２號５樓,,111/05/12,670,23.3,28.74,77.59%,華廈(10層含以下有電梯),1,五層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,建物第一次登記後移轉
西海路三段３９巷２弄２號五樓,,111/05/12,660,20.5,32.16,73.70%,華廈(10層含以下有電梯),1,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,
中興路１７３巷６之１號,,111/05/06,820,0,26.9,,透天厝,60,全/三層,房地(土地+建物),土:2 建:1車:0,3房1廳4衛,,無,無,住家用,
西海路三段１０６巷１７弄５號三樓,夏墅家園,111/05/05,598,15.9,37.66,59.13%,公寓(5樓含以下無電梯),5,三層/三層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳2衛,,無,無,住家用,
民權路２２６巷２弄１２號三樓之３,熙鼎御苑,111/04/29,1280,30.4,48.21,68.44%,住宅大樓(11層含以上有電梯),5,三層/十一層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,100,有,有,住家用,預售屋、或土地及建物分件登記案件;
民權路１２２巷１弄６號四樓之１,,111/04/29,340,31.3,10.85,75.08%,公寓(5樓含以下無電梯),11,四層/四層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,
