Location,Year of transaction,Total price (million),price,Total area,Percentage of main building,Type
民權路２２６巷２弄１３號六樓,2013/1/8,641,16,40.02,64.35,華廈(10層含以下有電梯)
民權路２２６巷２弄１３號七樓,2013/1/8,690,17.2,40.02,64.35,華廈(10層含以下有電梯)
民權路２２６巷２弄１３號八樓,2013/1/8,713,17.8,40.02,64.35,華廈(10層含以下有電梯)
民權路２２６巷２弄１３號九樓,2013/1/8,689,17.2,40.02,64.35,華廈(10層含以下有電梯)
民權路２２６巷２弄１３號十樓,2013/1/8,945,23.6,40.02,64.35,華廈(10層含以下有電梯)
民權路２２６巷２弄１５號二樓,2013/1/8,670,16.7,40.06,64.28,華廈(10層含以下有電梯)
民權路２２６巷２弄１５號三樓,2013/1/8,610,15,40.79,63.13,華廈(10層含以下有電梯)
民權路２２６巷２弄１５號四樓,2013/1/8,600,15,40.02,64.35,華廈(10層含以下有電梯)
民權路２２６巷２弄１５號五樓,2013/1/8,610,15.2,40.02,64.35,華廈(10層含以下有電梯)
民權路２２６巷２弄１５號六樓,2013/1/8,635,15.9,40.02,64.35,華廈(10層含以下有電梯)
民權路２２６巷２弄１５號七樓,2013/1/8,690,17.2,40.02,64.35,華廈(10層含以下有電梯)
民權路２２６巷２弄１５號八樓,2013/1/8,713,17.8,40.02,64.35,華廈(10層含以下有電梯)
民權路２２６巷２弄１５號九樓,2013/1/8,688,17.2,40.02,64.35,華廈(10層含以下有電梯)
民權路２２６巷２弄１５號十樓,2013/1/8,800,20,40.02,64.35,華廈(10層含以下有電梯)
大學路５３巷６弄１號三樓之２,2012/12/30,140,19.6,7.15,83.21,套房(1房(1廳)1衛)
大學路５３巷６弄１６號二樓,2012/12/30,155,18.6,8.35,75.8,套房(1房(1廳)1衛)
大學路５３巷６弄１７號二樓,2012/12/30,160,18.7,8.56,76.18,套房(1房(1廳)1衛)
大學路５３巷６弄１７號三樓,2012/12/30,160,18.7,8.56,76.18,套房(1房(1廳)1衛)
大學路５３巷６弄９號三樓,2012/12/30,175,14.6,12.01,71.51,套房(1房(1廳)1衛)
大學路５３巷６弄１７號,2012/12/30,160,18.7,8.56,76.18,套房(1房(1廳)1衛)
珠浦西路６巷６弄３號五樓,2012/12/21,440,22.8,19.31,85.56,公寓(5樓含以下無電梯)
西海路三段２２巷２３弄６號３樓,2012/12/12,400,15,26.6,100,公寓(5樓含以下無電梯)
